"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3",2.61420821120264e-05,0.0684442528369554,0.110000842815309,0.122901255676493,2181,0.1,100
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3",4.98257079161704e-07,0.0684581630337365,0.122912185257919,0.251739781159844,22061,0.1,100
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3",4.20957382768393e-08,0.0684699730070799,0.251746282582316,0.389864821491735,23412,0.1,100
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",5.77843170189299e-06,0.0684712998377421,0.389906060031662,0.64585849249338,43593,0.1,100
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",1.55018487526104e-07,0.0684712747153408,0.645864961226434,0.999998948490364,60520,0.1,100
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3",0.0684855293381487,0.0899962131327068,0.122937366378177,0.251711359386632,7049,0.1,100
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3",0.0684730262985214,0.089998452472315,0.251753715653223,0.389898584841697,7444,0.1,100
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684729748197176,0.0899996549016887,0.389917735183292,0.645854384103997,13752,0.1,100
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.068471736185215,0.0899994108488521,0.645873861758875,0.999988239981609,19289,0.1,100
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3",0.0685324198927739,0.0899870743295346,0.110002811724145,0.122900047215737,701,0.1,100
