"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3",1.7095479782531e-05,0.0684683807264664,0.110007274667993,0.122910758239063,2258,0.1,5
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3",2.81058902121149e-06,0.0684701942425363,0.122921919160991,0.251739908145662,21960,0.1,5
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3",5.234842541744e-06,0.0684679738320405,0.251756803546008,0.389905430969899,23517,0.1,5
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",4.00670869073365e-06,0.0684707523835971,0.389906439941381,0.645860469784119,43511,0.1,5
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",2.04141047601588e-06,0.0684713686624115,0.645864669955331,0.999996707169705,60827,0.1,5
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3",0.0684736521000996,0.0899914462792908,0.110009729517612,0.122905097730932,713,0.1,5
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3",0.0684752237053727,0.0899982082564971,0.122914905185196,0.251735005571042,6955,0.1,5
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3",0.0684732246001823,0.0899972663410701,0.251756713021464,0.389903234701964,7351,0.1,5
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.068476677614873,0.0899966964187905,0.389919199082519,0.64585248811771,13678,0.1,5
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.068476181150588,0.089997850000344,0.645865478180255,0.999963714326107,19232,0.1,5
