"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3",3.04199916652869e-06,0.0684590926557178,0.110001259814945,0.122908770680494,2245,0.1,20
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3",5.27509891977534e-06,0.0684658102321648,0.122915463419885,0.25174182382942,22004,0.1,20
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3",1.80082681251224e-06,0.0684706353630326,0.251752674201869,0.389892232826631,23524,0.1,20
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",1.62245543478057e-06,0.0684713985112702,0.389909355586075,0.64585749022742,43960,0.1,20
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",2.60132104796357e-06,0.0684715391641214,0.645871249958137,0.999998259917095,60688,0.1,20
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3",0.0684734853935254,0.0899959003716159,0.122968712806627,0.251734878794771,6939,0.1,20
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3",0.0684796804053984,0.0899979993377695,0.251759507338123,0.389871028918987,7392,0.1,20
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684728349584898,0.0899997632609619,0.389943061310459,0.645861476450578,13627,0.1,20
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.068472590789238,0.0899957384846313,0.64586372091445,0.999995666137447,18959,0.1,20
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3",0.0685499021737179,0.0899753834955124,0.110023860985694,0.122905957504555,664,0.1,20
