"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3",4.09034137430135e-06,0.068470242252167,0.110009195799986,0.122910893816331,2191,0.1,7
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3",7.02796266765799e-06,0.0684661790122525,0.122914454238855,0.251730069887908,22107,0.1,7
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3",1.10361614730209e-06,0.06846000574674,0.251749119227582,0.389898946939873,23456,0.1,7
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",3.44682140182704e-07,0.0684714243321628,0.389919980485355,0.645858775173033,43707,0.1,7
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",1.86729989480227e-08,0.0684705587851105,0.645869746663971,0.99999741062085,60481,0.1,7
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3",0.0684954612781153,0.0899906584743127,0.110025936135141,0.122897017577173,681,0.1,7
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3",0.0684720629626966,0.089998579946965,0.122931607382695,0.251739030770046,7037,0.1,7
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3",0.0684735909588337,0.0899993200449918,0.251753594325188,0.38983683222468,7250,0.1,7
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684730926784715,0.0899965489672914,0.389971041776517,0.645821928330785,13856,0.1,7
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684723170272409,0.0899988512409596,0.645881771760019,0.99998306122331,19236,0.1,7
