"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3",3.55231686097104e-06,0.0684028995715756,0.110001743660252,0.122908045226855,2311,0.1,6
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3",3.68086253078654e-06,0.0684710308720515,0.122911393377705,0.251726274562574,22135,0.1,6
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3",1.67623925968073e-06,0.0684707069351009,0.251743469615924,0.389900772308634,23637,0.1,6
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",8.78701970446855e-08,0.0684691924664107,0.389913829426396,0.645854242030754,43618,0.1,6
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",5.10981261113193e-06,0.0684712995117795,0.645870525133141,0.999996076012466,60697,0.1,6
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3",0.0684818821196123,0.0899691399617819,0.110001392458548,0.122908282015593,708,0.1,6
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3",0.068473104878785,0.0899978147731028,0.122914023828175,0.251707692304402,6806,0.1,6
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3",0.0684775660957207,0.0899958782760099,0.251777805868904,0.389899426803777,7351,0.1,6
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684747272643707,0.0899990294959222,0.389907224277883,0.645860304032002,13687,0.1,6
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684718346724788,0.0899988130800553,0.6458761531614,0.999979839010542,19052,0.1,6
