"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3",1.43318759382237e-06,0.0684686595874494,0.110006599715315,0.122905591634522,2064,0.1,12
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3",3.33725141049363e-06,0.0684652383075437,0.122917779968117,0.251723400198748,22353,0.1,12
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3",3.17536442584824e-06,0.0684712758096437,0.251783231055129,0.38990209643964,23471,0.1,12
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",3.72184068309143e-06,0.0684714016311977,0.389917996698642,0.6458577791935,43871,0.1,12
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",7.48829167289659e-07,0.0684707245836461,0.645867154979798,0.999998398008934,60621,0.1,12
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3",0.0684815961573017,0.0899806322845958,0.110009541343906,0.122854322053089,668,0.1,12
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3",0.0684805729840613,0.0899990591119504,0.122914920482168,0.251722916562989,6871,0.1,12
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3",0.0684781373684167,0.0899984726819947,0.251743269288461,0.389868186196842,7326,0.1,12
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684723925807092,0.0899994898482105,0.389926029704202,0.645860908786248,13782,0.1,12
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684725731406928,0.0899988209497232,0.64588946341261,0.99999861447156,18975,0.1,12
